Company_Name,Dependent-Company Status,Age of company in years,Internet Activity Score,Industry of company,Focus functions of company,Country of company,Number of Investors in Angel and or VC,Number of of advisors,Team size all employees,Number of of repeat investors,Worked in top companies,Average size of companies worked for in the past,Have been part of startups in the past?,Have been part of successful startups in the past?,Consulting experience?,Product or service company?,Focus on private or public data?,Focus on consumer data?,Focus on structured or unstructured data,Cloud or platform based serive/product?,Local or global player,Linear or Non-linear business model,"Capital intensive business e.g. e-commerce, Engineering products and operations can also cause a business to be capital intensive",Machine Learning based business,Predictive Analytics business,Big Data Business,Owns data or not? (monetization of data) e.g. Factual,Online or offline venture - physical location based business or online venture?,B2C or B2B venture?,Years of education,Skills score,Team Composition score,Pricing Strategy,google page rank of company website,Percent_skill_Data Science,Percent_skill_Business Strategy,Renown score
Company11,Success,3,762,Analytics|Enterprise Software,"Sales, marketing",United States,0,1,50,0,No,Small,Yes,Yes,No,Both,Public,Yes,Both,Platform,Global,Non-Linear,No,No,No,Yes,No,Online,B2B,18,14.5,High,Yes,142907,3.846153846,7.692307692,6
Company12,Success,4,140,0,operations,United States,1,1,50,1,No,No Info,Yes,Yes,No,Product,Private,No,Structured,Platform,Global,Non-Linear,No,No,No,No,No,Online,B2B,21,12,High,Yes,1560315,0,36.36363636,0
Company13,Success,4,115,Media|Finance|Marketing,"Marketing 
sales",United States,0,1,50,1,No,Medium,Yes,Yes,Yes,Product,Private,Yes,Structured,Cloud,Local,Non-Linear,Yes,No,No,No,No,Online,B2B,18,0,High,Yes,172054,0,0,0
Company14,Success,6,277,Music|Analytics,Technology,United States,0,0,22,0,No,Large,Yes,No,Yes,Product,Public,Yes,Both,Cloud,Global,Non-Linear,No,No,No,Yes,Yes,Online,B2B,18,20.5,Medium,Yes,99081,12.5,4.166666667,0
Company15,Success,4,242,E-Commerce|Gaming|Analytics,"marketing, sales",United States,2,0,50,0,No,Medium,No,No,No,Product,Public,Yes,Both,Platform,Local,Non-Linear,No,Yes,Yes,Yes,Yes,Online,B2B,25,22.5,High,Yes,713494,13.33333333,6.666666667,1
Company16,Success,6,533,Healthcare|Analytics,Data Management,United States,0,0,200,0,No,No Info,No,No,No,Both,Public,Yes,Both,Platform,Global,Non-Linear,Yes,No,Yes,No,No,Online,B2B,21,21,High,Yes,289041,11.11111111,27.77777778,5
Company17,Success,4,-81,Analytics,Marketing,United States,3,0,50,2,No,Small,No,No,No,Product,Public,Yes,Both,Platform,Local,Non-Linear,Yes,No,Yes,Yes,No,Online,B2B,21,12,Medium,Yes,1939943,0,25,2
Company18,Success,5,471,Marketing,Marketing & Sales,United States,0,0,50,2,No,Small,No,No,No,Both,Both,Yes,Both,Platform,Global,Non-Linear,No,Yes,Yes,Yes,No,Online,B2B,21,4.5,High,Yes,276491,0,20,0
Company19,Success,12,47,0,Solution providing,United States,3,0,200,0,Yes,Small,Yes,Yes,No,Both,Public,Yes,Both,Platform,local,Non-Linear,Yes,Yes,No,No,Yes,Online,B2B,21,18.5,High,Yes,3341960,0,0,5
Company20,Success,4,60,Advertising|Retail|Mobile,"Marketing 
sales",United States,6,0,50,0,No,Small,Yes,Yes,No,Product,Private,Yes,Both,Cloud,Local,Non-Linear,No Info,No,Yes,Yes,No,Online,B2B,18,0,High,No,2461569,0,0,8
Company21,Success,4,70,Marketing,Marketing,United States,1,0,26,0,Yes,Medium,Yes,No,No,Both,Private,Yes,Structured,Cloud,Global,Non-Linear,No,Yes,Yes,Yes,No,Offline,B2B,18,22,Medium,Yes,1246836,16.66666667,27.77777778,7
Company22,Success,9,242,0,Social Media,United States,0,0,26,0,No,Medium,Yes,Yes,Yes,Both,Public,No,Both,Platform,Global,Non-Linear,No,Yes,Yes,Yes,No,Both,B2B,21,14,Low,No,269278,25,33.33333333,0
Company23,Success,2,245,Analytics,Marketing,United States,0,8,33,2,Yes,Medium,Yes,Yes,No,Service,Private,Yes,Structured,Platform,Global,Non-Linear,No,No,No,Yes,No,Offline,B2B,21,17,High,No,761788,8.088235294,14.21568627,9
Company24,Success,5,0,0,targeted marketing,0,0,6,22,4,No,Small,Yes,Yes,Yes,Service,Both,No,Structured,Platform,Global,Non-Linear,No,No,No,Yes,Yes,Online,B2B,21,30,Low,No,109189,8.823529412,17.64705882,9
Company25,Success,2,373,Mobile|Retail,Community Betterment,United States,0,0,3,0,No,Small,Yes,Yes,No,Service,Public,No,Both,Platform,Local,Linear,Yes,Yes,Yes,Yes,Yes,Online,B2C,25,40,Low,No,642250,5.718954248,25.65359477,3
Company26,Success,3,61,Analytics,Web Analytics,United States,0,1,5,0,No,Small,Yes,Yes,No,Service,Private,Yes,Structured,Platform,Global,Non-Linear,No,No,No,Yes,No,Online,B2B,21,14,Low,No,3799200,7.692307692,7.692307692,0
Company27,Success,5,155,Analytics|Finance,Strategy,United States,0,0,6,0,No,Medium,No,No,No,Service,Private,No,Unstructured,Platform,Global,Non-Linear,No,No,No,No,Yes,Online,B2B,18,0,Low,No,2497831,0,0,0
Company28,Success,1,43,0,Social Media,United States,0,0,5,0,No,Small,No,No,No,Service,Private,No,Both,Platform,Global,Non-Linear,No,Yes,Yes,Yes,No,Online,B2C,25,32,Low,No,7253712,7.142857143,7.142857143,4
Company29,Success,7,11,Analytics,Strategy,United States,0,8,110,2,No,Medium,No,No,No,Service,Private,No,Structured,Platform,Local,Linear,Yes,Yes,Yes,Yes,No,Online,B2B,18,18,High,Yes,296645,5.555555556,22.22222222,1
Company30,Success,2,281,Software Development,Bug fix,United States,0,0,3,0,No,Small,No,No,No,Service,Private,No,Both,Platform,Global,Non-Linear,No,No,No,No,Yes,Online,B2C,18,17,Low,No,155498,4.166666667,11.45833333,5
Company31,Success,2,421,Marketing|Software Development|Analytics,Data Integration,United States,0,0,50,0,No,Small,No,No,No,Service,Private,No,Both,Platform,Global,Linear,Yes,No,No,Yes,No,Online,B2B,18,13,Low,Yes,38021,0,0,2
Company32,Success,6,-91,Security,malware protection,United States,1,0,35,3,Yes,Large,Yes,No,No,Service,Private,No,Both,Platform,Local,Linear,Yes,Yes,No,No,No,Online,B2B,25,16,High,Yes,No Info,12.77777778,12.77777778,4
Company33,Success,4,983,Analytics,Analytics,United States,3,2,132,3,No,Small,No,No,No,Product,Both,No,Both,Platform,Global,Non-Linear,No,No,Yes,Yes,No,Online,B2B,18,31,High,Yes,9355,18.75,6.25,1
Company34,Success,3,68,Advertising,Social Media optimization,United States,No Info,0,8,0,No,Medium,Yes,No,No,Service,Both,No,Both,Platform,Global,Non-Linear,No,Yes,Yes,Yes,Yes,Online,B2B,18,14,Low,No,1024425,0,0,2
Company35,Success,4,0,0,Analytics,0,5,0,12,1,No,Medium,Yes,Yes,Yes,Product,Private,No,Structured,Platform,Global,Non-Linear,No,Yes,Yes,Yes,No,Online,B2B,18,28,Medium,No,No Info,11.11111111,5.555555556,1
Company36,Success,2,75,Marketing|Email,Marketing,United States,3,6,13,0,No,Medium,No,No,No,Service,Public,Yes,Structured,Platform,Global,Non-Linear,No,Yes,Yes,Yes,No,Offline,B2B,18,45,Medium,Yes,1951415,0,27.77777778,0
Company37,Success,2,140,Analytics|Security|Network / Hosting / Infrastructure,Database Management,United States,0,4,30,2,No,Medium,No,No,No,Service,Private,Yes,Structured,Platform,Global,Linear,Yes,No,No,Yes,No,Offline,B2B,18,21,Medium,No,912860,2.777777778,11.11111111,3
Company38,Success,2,46,Human Resources (HR)|Marketing|Career / Job Search,operations,United States,0,3,4,1,No,Small,Yes,Yes,No,Product,Private,Yes,Structured,Platform,global,Non-Linear,No,No,No,No,No,Online,B2B,21,19,Low,No,2439989,2.941176471,2.941176471,4
Company39,Success,4,33,Cloud Computing|Healthcare|E-Commerce,technology,United States,0,0,10,4,No,Medium,No,No,No,Service,Private,Yes,Structured,Platform,local,Non-Linear,No,No,No,Yes,No,Online,B2B,18,13,Low,No,3792883,0,14.28571429,0
Company40,Success,4,56,Media|Analytics|Publishing|Mobile|Education,Analytics,United States,0,0,10,0,Yes,Small,No,No,No,Service,Public,Yes,Structured,Platform,Global,Non-Linear,No,No,Yes,No,No,Online,B2B,18,13,Medium,Yes,4518529,4.761904762,11.83706816,5
Company41,Success,2,89,E-Commerce|Energy|Media,Marketing,United States,1,1,7,0,No,Small,Yes,No,No,Service,Private,No,Unstructured,Platform,Local,Non-Linear,Yes,Yes,Yes,Yes,No,Online,B2C,21,15,Low,No,2219202,0,11.11111111,3
Company42,Success,5,69,Media|Analytics,Operations,United States,0,9,13,0,No,Small,Yes,Yes,Yes,Product,Private,Yes,Unstructured,Cloud,Local,Linear,No,Yes,Yes,Yes,No,Online,B2B,18,15,Low,Yes,No Info,5.882352941,2.941176471,5
Company43,Success,3,374,0,Operations,United States,0,8,57,0,No,Medium,No,No,No,Service,Public,No,Unstructured,Platform,Global,Linear,No,Yes,No,No,No,Online,B2C,21,25,Low,Yes,No Info,5.555555556,38.88888889,2
Company44,Success,6,40,0,Sales,United States,0,0,50,1,No,Small,No,No,Yes,Product,Private,Yes,Structured,Cloud,global,Non-Linear,No,No,Yes,No,No,Online,B2B,21,25,Medium,Yes,2607547,0,18.75,9
Company45,Success,2,0,0,Analytics,0,0,3,200,3,No,Large,Yes,Yes,Yes,Product,Public,No,Both,Platform,Local,Non-Linear,No,No,No,No,Yes,Both,B2B,21,20,Medium,No,375492,5.555555556,8.333333333,8
Company46,Success,4,-24,0,technology,United States,0,10,23,0,No,Small,Yes,Yes,No,Product,Private,Yes,Structured,cloud,global,Non-Linear,No,No,No,Yes,No,Online,B2B,25,12,Low,Yes,1810474,18.18181818,0,2
Company47,Success,3,295,Analytics|Enterprise Software,technology,United States,1,2,32,0,No,Medium,No,No,No,Product,Private,No,Structured,Platform,global,Non-Linear,No,No,No,Yes,No,Online,B2B,25,25,Medium,Yes,221783,26.47058824,5.882352941,6
Company48,Success,11,111,0,Risk,United States,No Info,13,300,0,No,Medium,Yes,Yes,No,Product,Private,Yes,Structured,Platform,global,Non-Linear,No,No,Yes,Yes,No,Online,B2C,18,25,Medium,No,1089377,0,0,0
Company49,Success,14,160,Analytics,operations,United States,No Info,0,616,0,No,Large,No,No,No,Service,Private,Yes,Structured,Platform,global,Non-Linear,No,No,Yes,Yes,No,Offline,B2B,18,51.5,High,No,213086,43.2748538,19.15204678,1
Company50,Failed,No Info,0,0,Marketing,United States,0,0,7,3,Yes,Small,Yes,Yes,No,Product,Private,Yes,Unstructured,cloud,Local,Non-Linear,No,Yes,No,No,No,Online,B2C,18,32,Low,Yes,375318,0,21.05263158,5
Company51,Success,3,805,E-Commerce|Analytics,"Marketing, Web Analytics",United States,3,1,28,2,No,Medium,Yes,Yes,No,Service,Both,No,Both,Cloud,Global,Non-Linear,No,No,No,Yes,No,Online,B2B,18,25,Low,Yes,11967,11.76470588,11.76470588,3
Company52,Success,5,-129,E-Commerce|Advertising|Analytics,Marketing,United States,0,2,55,3,Yes,Large,Yes,Yes,No,Both,Private,Yes,Structured,Platform,Global,Non-Linear,No,Yes,Yes,Yes,No,Offline,B2B,18,14,Low,Yes,169460,11.11111111,22.22222222,0
Company53,Success,5,416,Enterprise Software,"Strategy, Operations, Finacial Planning",United States,0,5,115,4,No,Large,No,No,No,Both,Private,No,Structured,Cloud,Global,Non-Linear,No,Yes,Yes,Yes,No,Online,B2B,21,44,High,Yes,447301,17.15686275,17.32026144,9
Company54,Success,7,0,0,Strategy,0,2,3,70,5,No,Medium,No,No,No,Service,Private,No,Structured,Platform,Global,Non-Linear,No,Yes,Yes,Yes,No,Online,B2B,21,26,High,Yes,No Info,0,27.77777778,6
Company55,Success,2,888,0,Marketing,United States,0,3,40,2,No,Medium,No,No,No,Service,Both,No,Both,Platform,Global,Linear,Yes,No,No,Yes,No,Online,B2B,18,0,Medium,Yes,86394,0,0,4
Company56,Success,3,524,Cloud Computing,Data Collection,0,0,2,30,1,No,Medium,No,No,No,Service,Private,No,Both,Cloud,Global,Linear,Yes,No,No,Yes,No,Online,B2B,18,22,Medium,Yes,217103,0,0,0
Company57,Success,6,16,Advertising|Marketing|Analytics,marketiing,United States,1,2,5,0,Yes,Large,No,No,Yes,Product,no,No,Unstructured,Platform,local,Non-Linear,No,No,No,No,No,Online,B2B,21,25,Low,Yes,12999889,17.64705882,0,4
Company58,Success,2,272,Analytics|Advertising|Cloud Computing|Marketing,marketing,United States,0,2,15,0,Yes,Small,Yes,Yes,Yes,Product,Both,Yes,Unstructured,Platform,global,Linear,Yes,No,No,Yes,No,Online,B2B,21,25,Medium,Yes,282991,5.555555556,11.11111111,0
Company59,Success,2,0,0,analytics,0,1,0,50,0,No,Small,Yes,Yes,Yes,No Info,Both,Yes,Structured,Platform,local,Non-Linear,No,No,No,Yes,No,Offline,B2B,21,15,Medium,No,No Info,0,0,7
Company60,Success,2,124,Analytics|Network / Hosting / Infrastructure,analytics,United States,1,0,14,0,No,Medium,No,No,Yes,Product,no,Yes,Structured,Platform,local,Non-Linear,No,No,No,Yes,No,Online,B2B,18,17,High,Yes,754828,5.555555556,11.11111111,6
Company61,Success,5,409,Finance,analytics,United States,0,0,50,2,Yes,Large,No,No,Yes,Product,Both,No,Both,Platform,global,Non-Linear,Yes,No,No,No,No,Online,B2B,18,20,Low,Yes,28597,0,0,4
Company62,Success,2,51,Mobile|Analytics,analytics,United States,0,1,18,0,No,Small,Yes,Yes,Yes,Service,Both,No,Structured,Platform,global,Linear,No,No,No,Yes,No,Online,B2B,21,25,Low,No,761094,11.11111111,16.66666667,0
Company63,Success,2,388,E-Commerce|Marketing,sales,India,1,1,18,0,No,Large,No,No,Yes,Service,no,No,Structured,none,local,Non-Linear,No,No,No,No,No,Online,B2C,18,20,Low,Yes,17535,0,5.882352941,1
Company64,Success,2,315,Education|E-Commerce|Mobile,e-learning,India,0,0,4,0,No,Small,Yes,Yes,Yes,Product,no,No,not applicable,Platform,global,Linear,No,No,No,No,No,Online,B2C,18,19,Low,No,204716,15.88235294,13.82352941,4
Company65,Success,2,0,0,sales,0,0,0,17,0,No,Large,Yes,No,Yes,Product,no,No,not applicable,none,local,Linear,Yes,No,No,No,No,Online,B2C,18,6,Low,Yes,No Info,0,0,1
Company66,Success,7,0,0,software service,0,0,0,488,0,No,Small,Yes,Yes,Yes,Service,no,No,Structured,none,global,Linear,Yes,No,No,No,No,Online,B2B,18,25,High,Yes,No Info,5.555555556,5.555555556,4
Company67,Success,5,157,E-Commerce|Retail|Marketing|Mobile|Advertising|Deals,mobile app,United States,0,1,39,0,No,Small,Yes,Yes,Yes,Service,no,No,Unstructured,Platform,global,Non-Linear,No,No,No,No,No,Online,B2B,18,25,Medium,No,346300,0,23.61111111,8
Company68,Success,2,133,Analytics|Market Research|Mobile,application,India,4,0,5,0,No,Medium,Yes,Yes,Yes,Service,no,Yes,Structured,Platform,local,Non-Linear,No,No,No,No,No,Online,B2B,21,0,Low,No,1873143,0,0,1
Company69,Success,1,408,Advertising|Mobile|Analytics,technology,Azerbaijan,0,0,6,0,No,Small,Yes,Yes,Yes,Product,no,No,Structured,Platform,global,Non-Linear,No,No,No,No,No,Online,B2B,18,25,Low,Yes,63274,0,5.882352941,4
Company70,Success,3,239,Analytics,analytic,Azerbaijan,0,0,4,0,No,Small,Yes,Yes,Yes,Product,Both,Yes,Unstructured,Platform,global,Non-Linear,No,No,Yes,Yes,No,Online,B2B,18,25,Low,Yes,1275090,6.666666667,6.666666667,0
Company71,Success,5,43,Media|Analytics|Entertainment,analytic,Belgium,6,0,10,0,No,Small,Yes,Yes,Yes,Service,no,Yes,Unstructured,Platform,global,Non-Linear,No,No,Yes,Yes,No,Online,B2C,21,18,Low,Yes,1766890,0,0,2
Company72,Success,3,8,Analytics|Retail|Mobile,analytic,Belgium,0,0,6,0,No,Medium,No,No,Yes,Product,Both,Yes,Structured,Platform,global,Non-Linear,No,No,Yes,Yes,No,Online,B2B,21,25,Medium,Yes,No Info,16.66666667,8.333333333,0
Company73,Success,2,217,Analytics|Cloud Computing,analytic,Bulgaria,1,0,3,0,No,Large,No,No,Yes,Product,Both,Yes,Structured,Platform,global,Non-Linear,No,No,Yes,Yes,No,Online,B2B,21,25,Low,No,2278656,11.32897603,0,3
Company74,Success,4,64,Analytics,software ,Bulgaria,0,0,4,0,No,Large,No,No,Yes,Product,no,No,Unstructured,Platform,global,Non-Linear,No,No,No,No,No,Online,B2B,21,18,Low,No,1505714,0,0,0
Company75,Success,1,181,Transportation|Analytics,software ,Bulgaria,0,0,10,0,No,Small,Yes,Yes,Yes,Service,Both,No,Structured,Platform,local,Non-Linear,No,No,Yes,Yes,No,Offline,B2B,21,25,High,No,1668553,11.11111111,11.11111111,1
Company76,Success,2,-34,Analytics|Publishing|Mobile,software ,Czech Republic,1,0,5,0,No,Small,Yes,Yes,Yes,Product,no,Yes,Unstructured,Platform,local,Non-Linear,No,No,No,No,No,Online,B2C,21,19,Medium,Yes,4095647,5.882352941,5.882352941,4
Company77,Success,2,14,Analytics|Mobile,technology,Germany,0,0,50,1,No,Large,Yes,Yes,Yes,Service,Public,No,Both,Both,local,Non-Linear,Yes,No,No,Yes,No,Online,B2B,18,18,Low,Yes,1652983,0,0,2
Company78,Success,2,398,Human Resources (HR)|Enterprise Software|Career / Job Search|Social Networking|Analytics,SOCIAL MEDIA,Spain,0,0,10,0,No,Large,No,No,Yes,Service,Public,Yes,Structured,Both,GLOBAL,Non-Linear,No,Yes,Yes,Yes,No,Online,B2C,21,14,Low,Yes,235406,7.142857143,7.142857143,4
Company79,Success,4,372,Analytics|Marketing,SOCIAL MEDIA management,France,0,0,50,0,No,Medium,Yes,Yes,No,Service,Public,Yes,Unstructured,none,GLOBAL,Linear,No,Yes,No,No,No,Online,B2B,25,19,High,Yes,163353,0,4.545454545,7
Company80,Success,4,-8,Analytics,OPERATIONS,France,0,1,No Info,0,No,Large,No,No,Yes,Product,Both,No,Both,none,global,Linear,No,Yes,Yes,Yes,No,Online,B2B,25,6,High,Yes,5620837,80,0,2
Company81,Success,4,263,Analytics|Marketing,MARKETING,France,0,0,50,0,No,Large,Yes,Yes,Yes,Service,Public,No,Both,Both,GLOBAL,Non-Linear,No,Yes,Yes,No,No,Online,B2B,25,5,Low,No,962657,0,0,1
Company82,Success,2,1,Analytics,PERSONAL APPS,United Kingdom,0,0,10,0,No,Small,Yes,Yes,Yes,Product,Private,No,Structured,Both,GLOBAL,Linear,No,Yes,Yes,Yes,No,Online,B2C,18,10,Low,No,6222945,0,33.33333333,6
Company83,Success,3,42,E-Commerce|Analytics,consumer behaviour,United Kingdom,1,2,50,0,No,No Info,No,No,No,Service,Public,No,Both,Both,global,Linear,No,Yes,Yes,Yes,No,Online,B2B,21,44,High,No,2281937,0,29.41176471,3
Company84,Success,3,138,Media|Marketing|Analytics,customer servce,United Kingdom,0,0,50,0,No,Small,Yes,Yes,No,Service,Public,No,Unstructured,Both,global,Linear,No,Yes,Yes,Yes,No,Online,B2B,18,27,Medium,No,346554,0,3.333333333,6
Company85,Success,3,401,Analytics|Marketing,CUSTOMER SERVICE,United Kingdom,3,0,10,0,No,Small,No,No,Yes,Service,Public,No,Unstructured,Both,GLOBAL,Non-Linear,No,Yes,Yes,No,No,Online,B2B,21,24,Medium,Yes,7917,0,0,0
Company86,Success,3,-77,Analytics|Food & Beverages|Social Networking|Mobile,MARKETING,United Kingdom,0,0,No Info,0,No,Large,Yes,No,No,Service,Public,No,Unstructured,Both,LOCAL,Non-Linear,Yes,Yes,Yes,No,Yes,Online,B2C,21,9,High,Yes,4996181,0,0,2
Company87,Success,4,-103,E-Commerce|Analytics|Advertising|Mobile,APP REVENUE,United Kingdom,0,1,50,0,No,Small,Yes,Yes,No,Service,Public,No,Structured,Both,LOCAL,Non-Linear,No,Yes,Yes,No,No,Online,B2B,21,30,High,Yes,312361,7.692307692,2.777777778,5
Company88,Success,5,-2,Media|Advertising|Analytics|Marketing,OPERATIONS,United Kingdom,0,3,50,0,No,Medium,Yes,Yes,Yes,Service,Public,No,Structured,Both,LOCAL,Linear,No,No,No,Yes,No,Online,B2B,25,37,Low,No,44436,5.263157895,15.78947368,7
Company89,Success,3,261,Analytics,intellectual property analysis and visualisation,United Kingdom,0,0,10,1,No,Small,Yes,No,No,Service,Public,No,Both,Both,LOCAL,Non-Linear,No,Yes,Yes,No,No,Online,B2C,21,49,Low,No,1447733,2.777777778,19.44444444,2
Company90,Success,1,763,E-Commerce|Retail|Analytics,retail,United Kingdom,0,0,50,0,No,Small,Yes,No,Yes,Service,Public,No,Both,Both,GLOBAL,Linear,No,Yes,No,No,No,Online,B2B,21,37,Low,No,163851,8.333333333,12.5,3
Company91,Success,4,-13,Social Networking,data visualization,United States,0,0,10,0,Yes,Small,Yes,Yes,No,Service,Both,Yes,Structured,Both,global,Non-Linear,No,No,No,Yes,No,Online,B2C,21,10,Low,No,7355795,7.142857143,28.57142857,1
Company92,Success,3,293,Healthcare,analytics,United States,0,0,50,0,No,Large,Yes,Yes,No,Product,Both,Yes,Structured,none,global,Linear,No,Yes,No,Yes,No,Offline,B2B,25,0,High,No,No Info,0,22.22222222,3
Company93,Success,4,126,E-Commerce|Mobile,service,United States,4,2,28,0,No,Small,Yes,Yes,No,Service,no,No,not applicable,Cloud,local,Non-Linear,No,No,No,No,No,Offline,B2B,21,19,Medium,No,46550,0,7.692307692,3
Company94,Success,7,9,Healthcare,analytics,Canada,2,2,88,0,Yes,Large,Yes,Yes,Yes,Service,Both,Yes,Unstructured,Platform,global,Linear,No,No,No,No,No,Offline,B2B,18,25,Low,No,No Info,0,0,0
Company95,Success,12,123,Analytics,analytics,United States,2,0,50,0,No,Large,Yes,Yes,Yes,Service,Both,Yes,Structured,Platform,Local,Non-Linear,No,No,Yes,Yes,No,Offline,B2B,21,24,High,Yes,2584435,20,26.66666667,4
Company96,Success,3,53,Enterprise Software,marketing,India,0,0,8,0,No,Medium,No,No,Yes,Product,no,No,Structured,Platform,global,Non-Linear,Yes,No,No,No,No,Offline,B2B,21,14,Medium,No,516830,25.50505051,12.87878788,3
Company97,Success,2,504,0,social media,0,0,1,4,0,No,Small,No,No,No,Service,Both,Yes,Unstructured,none,global,Non-Linear,No,No,No,Yes,No,Online,B2B,18,13,Medium,Yes,314409,0,0,0
Company98,Success,2,661,Real Estate,sales,0,0,0,315,0,No,Small,Yes,No,No,Service,Both,Yes,Unstructured,Platform,local,Linear,No,No,Yes,No,No,Online,B2C,18,18,High,No,7665,0,0,0
Company99,Success,2,0,0,service,0,0,0,No Info,0,No,Small,Yes,Yes,Yes,Product,Both,No,Structured,Platform,local,Non-Linear,No,No,No,No,No,Online,B2C,21,21,Low,Yes,No Info,0,2.941176471,4
Company100,Success,2,220,E-Commerce,service,India,0,0,6,0,No,Medium,Yes,Yes,Yes,Product,Both,Yes,Structured,Platform,local,Non-Linear,No,No,No,No,No,Online,B2C,21,19,High,No,19728,0,8.333333333,2
Company101,Success,2,0,0,service,0,3,0,11,2,No,Medium,No,No,Yes,Product,no,No,not applicable,Platform,local,Linear,Yes,No,No,No,No,Online,B2C,21,19,Medium,Yes,No Info,3.846153846,20.36199095,0
Company102,Success,2,-2,Analytics,analytics,Belgium,1,0,5,0,No,Small,Yes,Yes,Yes,Product,Both,Yes,Unstructured,Platform,global,Non-Linear,No,No,Yes,Yes,No,Online,B2C,No Info,25,Medium,Yes,1983752,4.444444444,0,0
Company103,Success,4,-34,Analytics,security,Switzerland,1,0,50,0,No,Small,Yes,Yes,No,Product,Both,No,Both,Platform,global,Linear,Yes,Yes,Yes,Yes,No,Online,B2B,18,17,Medium,No,10080538,3.846153846,3.846153846,0
Company104,Success,5,-26,Analytics,service,United Kingdom,0,0,50,0,No,Medium,Yes,Yes,No,Service,Both,Yes,Structured,Platform,global,Non-Linear,No,No,No,Yes,No,Offline,B2B,21,0,Medium,No,No Info,11.11111111,22.22222222,1
Company105,Success,5,265,Analytics|Marketing,service,United Kingdom,1,1,10,0,No,Medium,Yes,Yes,No,Service,Both,Yes,Structured,Cloud,No Info,Non-Linear,No,No,No,No,No,Online,B2B,21,16,Low,No,302399,15.38461538,15.38461538,5
Company106,Success,2,-2,Mobile|Advertising|Social Networking|Marketing|E-Commerce|Analytics|Enterprise Software,marketing,United Kingdom,0,0,10,0,No,Small,Yes,No,No,Service,no,No,not applicable,Cloud,No Info,Linear,No,No,No,No,No,Online,B2B,18,11,Low,No,117309,0,0,0
